18-08 (2)_19_10_24_21_37_51_90.jpg - distance:1.3159291034998004 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_91.jpg - distance:1.9912020631150813 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_92.jpg - distance:2.4221852414380836 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_93.jpg - distance:3.192624809213541 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_94.jpg - distance:3.9797751045210155 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_95.jpg - distance:4.873328834315394 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_88.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_97.jpg - distance:0.9960805673001004 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_96.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_98.jpg - distance:1.9453201172100654 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_96.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_99.jpg - distance:3.4650915356917746 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_96.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_100.jpg - distance:4.48524785069913 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_96.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_102.jpg - distance:1.0888846504460228 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_101.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_103.jpg - distance:2.0629789117326327 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_101.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_104.jpg - distance:3.0233815032481135 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_101.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_105.jpg - distance:4.012336295139872 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_101.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_106.jpg - distance:4.893492512836469 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_101.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_108.jpg - distance:0.7872319753270635 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_107.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_109.jpg - distance:1.5102891971944734 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_107.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_110.jpg - distance:1.9109541647343988 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_107.jpg | class:-22.780|-43.377
18-08 (2)_19_10_24_21_37_51_111.jpg - distance:2.744814146382819 | cause:classmate | comparedTo:18-08 (2)_19_10_24_21_37_51_107.jpg | class:-22.780|-43.377
